dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,Month,Year
6/1/1990,9.128,0.283,Victoria,Australia,6,
7/1/1990,9.323,0.155,Victoria,Australia,7,
8/1/1990,9.106,0.214,Victoria,Australia,8,
9/1/1990,11.745,0.174,Victoria,Australia,9,
10/1/1990,14.19,0.209,Victoria,Australia,10,
11/1/1990,17.204,0.236,Victoria,Australia,11,
12/1/1990,19.7,0.219,Victoria,Australia,12,
1/1/2000,19.522,0.119,Victoria,Australia,1,2000
2/1/2000,23.118,0.171,Victoria,Australia,2,
3/1/2000,19.359,0.183,Victoria,Australia,3,
4/1/2000,15.277,0.114,Victoria,Australia,4,
5/1/2000,11.224,0.193,Victoria,Australia,5,
6/1/2000,9.197,0.236,Victoria,Australia,6,
7/1/2000,8.841,0.223,Victoria,Australia,7,
8/1/2000,9.281,0.241,Victoria,Australia,8,
9/1/2000,12.048,0.149,Victoria,Australia,9,
10/1/2000,13.154,0.163,Victoria,Australia,10,
11/1/2000,18.474,0.111,Victoria,Australia,11,
12/1/2000,19.254,0.179,Victoria,Australia,12,
1/1/1900,28.297,0.471,Western Australia,Australia,1,1900
2/1/1900,30.179,0.688,Western Australia,Australia,2,
3/1/1900,25.17,0.456,Western Australia,Australia,3,
4/1/1900,21.328,0.433,Western Australia,Australia,4,
5/1/1900,17.331,0.531,Western Australia,Australia,5,
6/1/1900,16.011,0.478,Western Australia,Australia,6,
7/1/1900,13.136,0.416,Western Australia,Australia,7,
8/1/1900,15.758,0.559,Western Australia,Australia,8,
9/1/1900,18.39,0.401,Western Australia,Australia,9,
10/1/1900,24.035,0.53,Western Australia,Australia,10,
11/1/1900,26.749,0.307,Western Australia,Australia,11,
12/1/1900,28.725,0.513,Western Australia,Australia,12,
1/1/1910,29.468,0.495,Western Australia,Australia,1,1910
2/1/1910,28.864,0.392,Western Australia,Australia,2,
3/1/1910,26.088,0.468,Western Australia,Australia,3,
4/1/1910,23.763,0.511,Western Australia,Australia,4,
5/1/1910,19.055,0.261,Western Australia,Australia,5,
6/1/1910,15.135,0.345,Western Australia,Australia,6,
7/1/1910,14.487,0.252,Western Australia,Australia,7,
8/1/1910,17.004,0.273,Western Australia,Australia,8,
9/1/1910,20.801,0.218,Western Australia,Australia,9,
10/1/1910,21.431,0.315,Western Australia,Australia,10,
11/1/1910,25.293,0.329,Western Australia,Australia,11,
12/1/1910,26.862,0.421,Western Australia,Australia,12,
1/1/1920,28.56,0.574,Western Australia,Australia,1,1920
2/1/1920,28.436,0.478,Western Australia,Australia,2,
3/1/1920,25.99,0.286,Western Australia,Australia,3,
4/1/1920,21.456,0.833,Western Australia,Australia,4,
5/1/1920,18.113,0.323,Western Australia,Australia,5,
6/1/1920,15.383,0.297,Western Australia,Australia,6,
7/1/1920,13.922,0.382,Western Australia,Australia,7,
8/1/1920,16.007,0.425,Western Australia,Australia,8,
9/1/1920,19.824,0.426,Western Australia,Australia,9,
10/1/1920,23.166,0.374,Western Australia,Australia,10,
11/1/1920,26.017,0.339,Western Australia,Australia,11,
12/1/1920,27.452,0.583,Western Australia,Australia,12,
1/1/1930,29.091,0.362,Western Australia,Australia,1,1930
2/1/1930,28.875,0.316,Western Australia,Australia,2,
3/1/1930,26.801,0.309,Western Australia,Australia,3,
4/1/1930,22.616,0.242,Western Australia,Australia,4,
5/1/1930,19.018,0.251,Western Australia,Australia,5,
6/1/1930,16.715,0.373,Western Australia,Australia,6,
7/1/1930,15.39,0.258,Western Australia,Australia,7,
8/1/1930,16.732,0.196,Western Australia,Australia,8,
9/1/1930,20.445,0.221,Western Australia,Australia,9,
10/1/1930,22.437,0.174,Western Australia,Australia,10,
11/1/1930,26.244,0.272,Western Australia,Australia,11,
12/1/1930,27.04,0.374,Western Australia,Australia,12,
1/1/1940,28.191,0.424,Western Australia,Australia,1,1940
2/1/1940,28.548,0.274,Western Australia,Australia,2,
3/1/1940,27.91,0.244,Western Australia,Australia,3,
4/1/1940,22.144,0.267,Western Australia,Australia,4,
5/1/1940,17.639,0.192,Western Australia,Australia,5,
6/1/1940,16.337,0.282,Western Australia,Australia,6,
7/1/1940,14.968,0.25,Western Australia,Australia,7,
8/1/1940,17.429,0.19,Western Australia,Australia,8,
9/1/1940,20.671,0.248,Western Australia,Australia,9,
10/1/1940,24.21,0.207,Western Australia,Australia,10,
11/1/1940,25.732,0.236,Western Australia,Australia,11,
12/1/1940,28.171,0.249,Western Australia,Australia,12,
1/1/1950,29.11,0.205,Western Australia,Australia,1,1950
2/1/1950,28.192,0.175,Western Australia,Australia,2,
3/1/1950,26.841,0.297,Western Australia,Australia,3,
4/1/1950,23.396,0.247,Western Australia,Australia,4,
5/1/1950,19.951,0.266,Western Australia,Australia,5,
6/1/1950,14.752,0.214,Western Australia,Australia,6,
7/1/1950,13.825,0.212,Western Australia,Australia,7,
8/1/1950,16.792,0.237,Western Australia,Australia,8,
9/1/1950,20.306,0.249,Western Australia,Australia,9,
10/1/1950,21.852,0.241,Western Australia,Australia,10,
11/1/1950,25.319,0.273,Western Australia,Australia,11,
12/1/1950,27.63,0.282,Western Australia,Australia,12,
1/1/1960,28.427,0.259,Western Australia,Australia,1,1960
2/1/1960,27.164,0.239,Western Australia,Australia,2,
3/1/1960,26.089,0.238,Western Australia,Australia,3,
4/1/1960,22.101,0.358,Western Australia,Australia,4,
5/1/1960,16.576,0.419,Western Australia,Australia,5,
6/1/1960,14.979,0.313,Western Australia,Australia,6,
7/1/1960,14.578,0.443,Western Australia,Australia,7,
8/1/1960,15.657,0.257,Western Australia,Australia,8,
9/1/1960,18.881,0.128,Western Australia,Australia,9,
10/1/1960,23.873,0.237,Western Australia,Australia,10,
11/1/1960,25.805,0.247,Western Australia,Australia,11,
12/1/1960,28.027,0.213,Western Australia,Australia,12,
1/1/1970,29.689,0.172,Western Australia,Australia,1,1970
2/1/1970,29.738,0.228,Western Australia,Australia,2,
3/1/1970,27.772,0.233,Western Australia,Australia,3,
4/1/1970,22.488,0.206,Western Australia,Australia,4,
5/1/1970,18.138,0.262,Western Australia,Australia,5,
6/1/1970,16.765,0.249,Western Australia,Australia,6,
7/1/1970,14.942,0.281,Western Australia,Australia,7,
8/1/1970,16.398,0.242,Western Australia,Australia,8,
9/1/1970,19.078,0.212,Western Australia,Australia,9,
10/1/1970,24.203,0.206,Western Australia,Australia,10,
11/1/1970,25.933,0.156,Western Australia,Australia,11,
12/1/1970,28.536,0.177,Western Australia,Australia,12,
1/1/1980,30.078,0.179,Western Australia,Australia,1,1980
2/1/1980,28.052,0.378,Western Australia,Australia,2,
3/1/1980,28.879,0.335,Western Australia,Australia,3,
4/1/1980,23.092,0.194,Western Australia,Australia,4,
5/1/1980,20.234,0.178,Western Australia,Australia,5,
6/1/1980,16.146,0.282,Western Australia,Australia,6,
7/1/1980,15.155,0.184,Western Australia,Australia,7,
8/1/1980,17.556,0.213,Western Australia,Australia,8,
9/1/1980,21.826,0.173,Western Australia,Australia,9,
10/1/1980,22.207,0.16,Western Australia,Australia,10,
11/1/1980,27.314,0.24,Western Australia,Australia,11,
12/1/1980,29.123,0.202,Western Australia,Australia,12,
1/1/1990,28.944,0.212,Western Australia,Australia,1,1990
2/1/1990,27.455,0.208,Western Australia,Australia,2,
3/1/1990,28.305,0.222,Western Australia,Australia,3,
4/1/1990,23.619,0.1,Western Australia,Australia,4,
5/1/1990,20.229,0.178,Western Australia,Australia,5,
6/1/1990,15.192,0.272,Western Australia,Australia,6,
7/1/1990,15.009,0.198,Western Australia,Australia,7,
8/1/1990,16.851,0.247,Western Australia,Australia,8,
9/1/1990,20.424,0.175,Western Australia,Australia,9,
10/1/1990,23.666,0.171,Western Australia,Australia,10,
11/1/1990,27.876,0.305,Western Australia,Australia,11,
12/1/1990,28.906,0.238,Western Australia,Australia,12,
1/1/2000,27.455,0.272,Western Australia,Australia,1,2000
2/1/2000,27.739,0.295,Western Australia,Australia,2,
3/1/2000,25.431,0.214,Western Australia,Australia,3,
4/1/2000,22.203,0.143,Western Australia,Australia,4,
5/1/2000,16.953,0.197,Western Australia,Australia,5,
6/1/2000,15.117,0.26,Western Australia,Australia,6,
7/1/2000,15.923,0.189,Western Australia,Australia,7,
8/1/2000,16.097,0.246,Western Australia,Australia,8,
9/1/2000,21.291,0.194,Western Australia,Australia,9,
10/1/2000,23.169,0.239,Western Australia,Australia,10,
11/1/2000,26.433,0.288,Western Australia,Australia,11,
12/1/2000,28.753,0.211,Western Australia,Australia,12,
